Names,90s,Gls,Ast,G+A,G-PK,PK,PKatt,xG,npxG,xAG,npxG+xAG,PrgR,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,npxG/Sh,G-xG,np:G-xG,TotDist,PrgDist,Cmp%S,Cmp%M,Cmp%L,xA,A-xAG,KP,F3rdPPA,PPA,CrsPA,PrgP,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,BlockedPass,SCA,SCA90,PassLiveSCA,PassDeadSCA,TO,ShToS,Fld,Def,GCA,GCA90,PassLive,PassDead,TOSCA,ShSCA,FldSCA,DefSCA,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,TklDef,Att,Tkl%,Lost,Blocks,ShBlocked,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rdT,Mid 3rdT,Att 3rdT,Att Pen,LiveT,AttTO,Succ%,Tkld,Tkld%,Carries,TotDistC,PrgDistC,PrgC,F3Carry,CPA,Mis,Dis,Rec,CrdY,CrdR,2CrdY,Fls,PKwon,PKcon,OG,Recov,ADWon,ADLost,Playstyles
Taiwo Awoniyi,1,0.4044,0.1011,0.5054,0.3888,0.0156,0.0156,0.3911,0.3795,0.0956,0.4751,5.6687,2.0295,0.9409,43.7,0.19,0.41,0.0972,0.19,-1.3,-1.8,172.2084,30.8554,77.1,72.8,66.4,0.0669,0.0054,1.0575,0.7776,0.4588,0.0778,1.4308,16.2597,0.6143,0.0389,0.1089,0.0233,0.3266,0.0622,0,0,0,0,12.1073,0.0622,0.4977,2.465,0.0233,1.7418,0.0156,0.2411,0.2411,0.1944,0.0311,0.311,0.003,0.1788,0.0078,0.0622,0.0233,0.0389,0,0.4588,0.2955,0.0855,0.2799,0.0933,0.0778,0.3577,21.7,0.2799,0.4355,0.0855,0.3499,0.1555,0.6143,0.6143,0,26.6796,0.6687,1.7885,12.224,13.2037,3.8491,26.6641,1.6796,54.6,0.7309,43.5,16.1975,94.2691,38.3126,1.2986,1.0109,0.6143,3.5381,1.4463,20.5521,0.1011,0.0078,0,1.2364,0.0311,0.0078,0.0078,2.4728,1.4541,3.0171,Complete Forward
Jordan Ayew,1,0.2068,0.1142,0.321,0.1883,0.0185,0.0185,0.0864,0.084,0.046,0.1299,3.2068,0.8735,0.7315,35.7,0.1,0.26,0.0512,0.1,-2,-2.2,150.1358,27.0679,87.2,77.8,45.7,0.0383,0.0682,0.4352,0.5895,0.3179,0.0617,0.963,14.3488,0.4198,0.071,0.0679,0.0278,0.9043,0.1327,0.0185,0,0.0031,0,11.4352,0.037,0.5556,1.2747,0.0075,0.7623,0.0062,0.1358,0.1265,0.1975,0.0463,0.1389,0.0008,0.0833,0,0.0154,0.0216,0.0154,0.0031,1.0895,0.7438,0.3302,0.4506,0.3086,0.3086,0.8395,36.8,0.5309,0.6265,0.0525,0.5741,0.3395,1.4043,0.3488,0.0031,22.3333,0.429,2.7963,10.4753,9.5895,1.7006,22.3302,2.0031,52.4,0.8333,41.6,13.9784,94.1235,40.9506,1.4352,0.9198,0.4198,1.8025,1.5463,16.1512,0.1975,0.0154,0.0031,1.9846,0.0031,0,0,2.5401,0.9043,2.0123,Wide Winger
Beno\xc3\xaet Badiashile,1,0.0637,0.0182,0.0819,0.0637,0,0,0.0664,0.0664,0.0291,0.0955,0.1729,0.6096,0.1729,28.4,0.1,0.37,0.1183,0.11,-0.3,-0.3,1162.0291,425.0409,90.1,92.9,67.9,0.0364,-0.0109,0.1729,4.3221,0.1729,0,5.1137,65.4595,1.5196,1.374,0.0546,0.7279,0.0637,0.1456,0,0,0,0,58.626,0.0819,0.3003,0.8098,0.0074,0.6642,0.0182,0,0.0819,0.0091,0.0364,0.0728,0.0006,0.0546,0,0,0.0091,0.0091,0,1.2102,0.7825,0.7825,0.4186,0.0091,0.6005,1.0373,57.9,0.4368,0.8189,0.455,0.364,1.5469,2.7571,3.5942,0.091,75.9873,7.152,32.9299,41.6106,1.8835,0.8644,75.9873,0.2002,54.5,0.0819,40.9,47.0883,226.5787,136.5969,0.7643,0.3185,0.0091,0.3731,0.182,52.3294,0.1729,0,0,0.9918,0.0091,0.0182,0.0091,6.515,2.9117,1.192,Sweeper
Leon Bailey,1,0.2813,0.2569,0.5382,0.2813,0,0,0.2024,0.2024,0.1713,0.3743,7.3517,1.945,0.8991,38.4,0.13,0.31,0.1193,0.11,4.9,4.9,306.8807,80.1713,81.6,68.1,47.2,0.1804,0.0856,1.3823,1.052,1.0765,0.4587,1.9939,24.4404,2.9541,0.5199,0.0489,0.3731,4.581,0.7401,1.633,0.8869,0.5505,0.0122,18.4037,0.0979,1.2355,2.8624,0.0241,1.6758,0.4159,0.3486,0.2324,0.159,0.0306,0.3242,0.0028,0.1835,0.0489,0.0367,0.0428,0.0061,0.0061,0.5138,0.3303,0.1957,0.2018,0.1162,0.2141,0.6177,34.7,0.4037,0.5994,0.0061,0.5933,0.3731,0.8685,0.2446,0,36.2997,0.3792,3.7737,13.7187,19.6147,3.2232,36.2997,3.4924,51,1.5841,45.4,22.6116,168.5627,82.4281,3.3028,1.7554,1.1437,1.8899,1.4067,25.7003,0.1713,0.0245,0.0061,1.0948,0.0061,0.0061,0,3.5413,0.6239,0.948,Wide Winger
George Baldock,1,0.037,0.0708,0.1078,0.037,0,0,0.0163,0.0163,0.041,0.0573,2.5901,0.308,0.1632,32,0.06,0.23,0.0514,0.08,-0.3,-0.3,221.6138,77.6163,89.8,75.5,38.6,0.0416,0.0299,0.3511,0.9393,0.5359,0.2341,1.5399,16.7354,3.7265,0.1294,0.0185,0.0431,1.5306,3.5848,0.0123,0,0,0,15.5528,0.0462,0.7515,0.8562,0.0055,0.7022,0.0431,0.04,0.0246,0.037,0.0092,0.0862,0.0006,0.0616,0,0.0031,0.0092,0.0092,0.0031,0.7699,0.6437,0.4342,0.2556,0.0801,0.348,0.6683,52.1,0.3203,0.4096,0.1016,0.308,0.4774,1.1765,0.9547,0.0154,25.0416,1.1826,5.8485,9.0976,10.2803,0.9332,25.0416,0.6221,53,0.2772,44.6,11.8571,67.4715,32.8857,1.0995,0.656,0.2525,0.542,0.3788,13.9205,0.2341,0,0,1.3489,0.0092,0.0031,0,2.1743,0.4897,0.5574,Defensive Full Back
Carlos Baleba,1,0,0,0,0,0,0,0.0796,0.0796,0.0177,0.0973,1.3274,1.8584,0.4425,23.8,0,0,2.2566,0.04,-0.9,-0.9,903.5398,190.7965,89.7,92.2,81.1,0.0177,-0.0177,0.531,4.4248,0.2655,0,5.2212,58.0531,0.531,0.531,0,0.354,0.0885,0,0,0,0,0,51.7699,0.0885,0.885,1.4159,0.1257,1.0619,0,0.0885,0.0885,0.177,0,0.177,0.0159,0,0,0,0,0.177,0,3.5398,1.9469,1.2389,1.8584,0.4425,1.9469,3.2743,59.5,1.3274,2.3009,0.531,1.7699,0.885,4.4248,1.3274,0.2655,73.7168,3.1858,16.0177,46.7257,11.6814,0.531,73.7168,3.1858,50,1.0619,33.3,51.4159,289.115,143.2743,1.6814,1.7699,0.177,1.5929,2.3009,52.3894,0.4425,0.0885,0,2.3009,0.177,0,0,6.9912,1.7699,0.885,Box to Box
Fod\xc3\xa9 Ballo-Tour\xc3\xa9,1,0.0105,0.0734,0.0839,0.0105,0,0,0.0294,0.0294,0.0702,0.0985,5.0839,0.2621,0.1258,48,0.04,0.08,0.1551,0.11,-1.8,-1.8,589.413,201.5933,89.2,79,51.7,0.0692,0.0031,0.6813,2.7883,0.8176,0.4507,3.7107,39.9371,9.8218,0.7862,0.0419,0.0629,2.914,9.0252,0.0105,0,0,0,39.392,0.0943,1.2788,1.5199,0.0159,1.174,0.0943,0.1048,0.0105,0.1153,0.021,0.1572,0.0017,0.1258,0,0.0105,0,0.021,0,2.4528,1.761,1.2998,0.9748,0.1782,1.0168,1.9287,52.7,0.9119,1.1216,0.1782,0.9434,1.2683,3.7212,2.0126,0.0629,60.5241,2.1908,16.2893,30.2306,14.7589,1.1426,60.5241,1.8658,57.3,0.7862,42.1,30.0839,178.9099,106.0587,2.8302,1.6876,0.2411,1.1845,0.9119,33.543,0.2201,0.0105,0,1.0901,0.021,0.0524,0.0314,5.4927,1.3417,1.2159,Offensive Wing Back
Shandon Baptiste,1,0.0741,0.0741,0.1481,0.0741,0,0,0.0469,0.0469,0.0469,0.0938,1.8519,0.7407,0.1975,26.7,0.1,0.38,0.4346,0.1,0.1,0.1,279.9259,66.6667,88.9,87.7,60,0.0395,0.0272,0.642,1.4815,0.3704,0.0741,2.3704,20.7654,0.321,0.0494,0.0494,0.0741,1.1852,0.1728,0.0494,0.0494,0,0,17.5062,0.0494,0.4691,1.3086,0.057,0.963,0.0247,0.1728,0.0741,0.0741,0,0.1728,0.0077,0.1481,0,0,0,0.0247,0,1.0617,0.8642,0.5185,0.3951,0.1481,0.4444,1.0617,41.9,0.6173,0.6914,0.0988,0.5926,0.8642,1.679,0.6914,0,27.7778,1.0123,6.2469,14.1235,7.8272,0.8889,27.7778,1.4321,60.3,0.4691,32.8,17.1111,83.9259,40.4444,0.7654,0.8642,0.2222,1.3827,0.6914,17.8025,0.321,0.0741,0.0741,1.1852,0.0247,0,0.0247,3.7284,0.5432,0.8889,Creator
Ross Barkley,1,0.1898,0.1548,0.3447,0.1748,0.015,0.02,0.0839,0.0839,0.0619,0.1454,1.3636,1.3786,0.8492,31.9,0.07,0.21,0.1024,0.09,-3.8,-3.8,238.1968,57.0579,89.2,88.1,71.4,0.0504,0.0929,0.6793,1.2188,0.4296,0.02,1.7832,16.029,1.2887,0.3247,0.0649,0.1548,1.3337,0.1249,0.5744,0.2498,0.1648,0.035,14.5904,0.0549,0.2747,1.3936,0.021,0.8991,0.1998,0.1399,0.0749,0.045,0.035,0.1598,0.0024,0.1099,0.01,0.01,0.015,0.01,0.005,0.3247,0.3047,0.1099,0.1399,0.0749,0.1099,0.3796,28.9,0.2697,0.2198,0.0599,0.1598,0.2547,0.5145,0.2797,0.02,20.7642,0.4346,2.7722,10.5744,7.6973,0.8541,20.7642,0.8591,67.4,0.2498,29.1,12.8771,72.967,34.5654,0.9191,0.6743,0.1748,0.5445,0.7443,15.2997,0.1149,0,0,0.994,0.005,0,0,1.9081,0.4046,0.3497,Creator
Harvey Barnes,1,0.3286,0.1995,0.5282,0.3286,0,0,0.2371,0.2371,0.132,0.3691,7.1538,2.5235,1.0915,43.3,0.13,0.3,0.1021,0.1,4.6,4.6,227.9754,58.7559,82.2,73.1,47.7,0.0962,0.0675,0.98,1.1854,0.8451,0.1174,2.365,23.2805,0.2582,0.0293,0.1291,0.0763,1.6373,0.1467,0.0469,0.0117,0.0117,0.0117,17.2242,0.1056,0.8216,2.6291,0.0193,1.8251,0.0293,0.3169,0.2347,0.2113,0.0117,0.4577,0.0033,0.311,0,0.0587,0.0528,0.0293,0.0059,0.669,0.4108,0.2523,0.2817,0.135,0.223,0.7512,29.7,0.5282,0.6221,0.0646,0.5575,0.2465,0.8862,0.2876,0.0059,33.3099,0.4225,3.2218,12.007,18.7207,4.0258,33.3099,2.8462,45.2,1.4906,52.4,22.4237,165.2876,94.4894,3.4977,2.1479,1.5669,2.1244,1.1385,26.2911,0.0528,0,0,0.9155,0.0117,0,0,3.0458,0.7453,1.1854,Wide Winger
Chris Basham,1,0.0455,0.043,0.0885,0.0455,0,0,0.0137,0.0137,0.0167,0.0306,0.8595,0.1769,0.1643,30,0.11,0.28,0.0334,0.11,-1.4,-1.4,229.6613,81.0592,88.4,77.1,46.6,0.0187,0.0263,0.1795,0.9681,0.1668,0.0506,1.3195,16.3878,1.6254,0.2351,0.0025,0.1163,0.685,1.3852,0.0025,0,0.0025,0,13.7058,0.0506,0.273,0.4525,0.003,0.3691,0.0051,0.0329,0.0126,0.0278,0.0051,0.043,0.0003,0.0329,0.0025,0.0025,0,0.0051,0,0.8519,0.6699,0.541,0.2427,0.0683,0.4196,0.771,54.4,0.3514,0.4095,0.1744,0.2351,0.9403,1.5597,1.5142,0.0051,22.7932,2.2144,9.0091,9.9823,4.0445,0.5586,22.7932,0.3969,63.1,0.1441,36.3,10.2781,61.7164,38.1825,0.6598,0.5814,0.0708,0.4095,0.1845,11.8276,0.2022,0.0076,0.0025,1.0339,0.0025,0.0076,0,2.2624,1.0288,0.7735,Disruptor
Calvin Bassey,1,0.016,0.0958,0.1118,0.016,0,0,0.0128,0.0128,0.0447,0.0559,1.278,0.4313,0.1118,25.9,0.04,0.14,0.1725,0.1,0.2,0.2,544.8562,178.2907,93.4,90.5,63.7,0.0639,0.0511,0.1757,2.0927,0.1917,0.1118,2.0128,33.0192,1.7732,0.7029,0.016,0.2077,2.3323,0.8147,0,0,0,0,30.1118,0.0799,0.3994,0.623,0.0212,0.5112,0.016,0.0479,0,0.0479,0,0.1278,0.0043,0.1118,0,0.016,0,0,0,0.9105,1.1821,0.4952,0.3514,0.0639,0.3195,0.4473,71.4,0.1278,0.5751,0.1757,0.3994,1.1182,1.5655,1.0543,0.0639,39.2971,2.9073,15.7827,19.377,4.5367,0.4952,39.2971,0.3195,65,0.0639,20,25.4633,132.7636,68.4824,0.7029,0.5751,0.0479,0.4313,0.1278,27.4121,0.0958,0.016,0.016,0.7508,0,0,0,3.5463,0.8147,0.5112,Aggressor
Donny van de Beek,1,0.2917,0.2244,0.5161,0.2842,0.0075,0.0075,0.1249,0.1249,0.0927,0.2177,3.089,0.8003,0.7031,83.2,0.34,0.4,0.104,0.16,3.3,3.3,196.6642,50.6058,85.6,87.6,60.5,0.1092,0.1316,0.7105,1.092,0.4263,0.0299,1.81,17.8085,0.4936,0.0748,0.0673,0.0898,0.2767,0.0898,0.0224,0.0075,0.0075,0,14.8168,0.0524,0.5385,1.4734,0.0236,1.2491,0,0.0524,0.1047,0.0524,0.015,0.2244,0.0036,0.172,0,0.015,0.0075,0.0224,0.0075,1.0022,0.546,0.2244,0.5236,0.2543,0.2992,0.6507,46,0.3515,0.561,0.1047,0.4562,0.4263,1.4286,0.3216,0,23.2835,0.4862,2.9394,10.8676,9.626,2.6926,23.2835,0.7405,57.6,0.3067,41.4,12.7674,52.4159,25.2281,0.6881,0.5236,0.2019,0.6507,0.531,15.3478,0.1122,0.0075,0,0.6432,0.0224,0,0,2.4458,0.3366,0.3366,Creator
Amari\'i Bell,1,0.0399,0.0491,0.0889,0.0399,0,0,0.0181,0.0181,0.0242,0.0426,1.3309,0.1993,0.1472,53.8,0.17,0.27,0.0567,0.09,-0.9,-0.9,253.5357,103.7596,83.6,70,38.1,0.0301,0.0248,0.3281,1.4137,0.3711,0.1135,1.8829,17.5652,4.7501,0.2147,0.0276,0.0767,0.8249,4.514,0.0092,0.0031,0,0,15.5136,0.0889,0.5704,0.8218,0.005,0.6348,0.0736,0.0399,0.0215,0.0429,0.0092,0.0736,0.0004,0.0583,0,0.0031,0,0.0092,0.0031,0.8678,0.4876,0.5182,0.276,0.0736,0.4538,0.7636,59.4,0.3097,0.6102,0.1411,0.4692,0.552,1.4198,1.3247,0.0061,28.0711,1.5854,9.3867,11.8491,7.1512,0.4937,28.0711,0.8494,52.3,0.3527,41.5,12.1067,80.2361,44.2901,1.1868,0.7758,0.1748,0.7237,0.4079,12.8795,0.0675,0.0031,0.0031,0.7912,0.0061,0.0092,0,2.8519,0.9537,0.7084,Offensive Wing Back
Jean-Ricner Bellegarde,1,0.0974,0.1049,0.2022,0.0974,0,0,0.0884,0.0884,0.1124,0.2007,3.7528,1.2285,0.3596,29.3,0.08,0.27,0.1596,0.07,1.2,1.2,562.7191,132.2547,87.6,85.3,61.5,0.1161,-0.0075,1.191,3.0487,0.8839,0.2846,4.6067,38.0524,1.9925,0.7191,0.1348,0.397,2.4794,0.2247,1.0112,0.4045,0.4494,0,32.2397,0.1798,0.839,2.6217,0.0204,1.8202,0.2846,0.1948,0.0824,0.2247,0.015,0.3071,0.0024,0.1948,0.0075,0.015,0.03,0.0599,0,1.9476,1.2285,0.7416,0.9064,0.2996,0.5543,1.1461,48.4,0.5918,0.9813,0.1273,0.8539,0.9738,2.9213,0.7266,0,52.1948,1.1086,8.2547,28.764,16.1573,1.6404,52.1948,3.1236,58.3,1.1086,35.5,34.5468,234.1573,114.5393,2.9513,2.3745,0.5243,2.412,1.5805,34.9813,0.1423,0.0225,0.0075,1.3708,0.0524,0.0075,0,5.7378,0.6517,1.3633,Wide Winger
Anis Ben Slimane,1,0.1493,0.1658,0.3151,0.1493,0,0,0.01,0.01,0.0017,0.0133,0.2156,1.791,0.6136,34.3,0.08,0.24,0.3201,0.13,-0.6,-0.6,10.8955,3.9635,65.7,70,100,0.0017,0.1642,0.0166,0.0498,0.0166,0,0.1161,1.1111,0,0,0.0166,0,0.6136,0,0,0,0,0,0.7297,0.0332,0.0498,0.0995,0.0597,0.0663,0,0.0166,0,0,0.0166,0,0,0,0,0,0,0,0,0.0498,1.6086,0.0332,0,0.0166,0,0.0498,0,0.0498,0.0166,0,0.0166,0.9784,0.0663,0.0166,0,1.5755,0.0995,0.2488,0.7297,0.6302,0.0663,1.5755,0.1161,28.6,0.0829,71.4,0.8624,3.2504,1.1443,0.0166,0.0995,0.0166,0.0498,0.0332,1.0448,0.2819,0,0,1.8242,0,0,0,0.3648,0.0498,0.1161,Disruptor
Sa\xc3\xafd Benrahma,1,0.3226,0.267,0.5895,0.267,0.0556,0.0556,0.2475,0.2036,0.2102,0.4143,8.3927,3.0311,1.1624,36.7,0.08,0.23,0.1224,0.07,5.5,3.4,361.4349,110.1613,86.4,69.9,41.2,0.1947,0.0567,1.9689,2.1691,1.4294,0.356,3.8209,31.8854,2.7753,0.5895,0.2002,0.228,4.1491,0.2725,1.5962,0.6618,0.5006,0.1112,25.228,0.2058,1.0011,4.3048,0.0271,2.9422,0.4283,0.4672,0.2558,0.1947,0.0167,0.4338,0.0027,0.3059,0.0278,0.0501,0.0222,0.0278,0,1.0067,0.6285,0.4672,0.3726,0.1669,0.3393,1.2013,28.2,0.8621,0.5339,0.0111,0.5228,0.3393,1.3459,0.2892,0.0056,47.1135,0.4171,4.3382,17.881,25.8231,3.9099,47.0578,4.7998,52.6,2.158,45,32.6196,230.6118,116.5017,4.2992,2.6418,1.6129,2.7141,2.0078,35.317,0.0556,0.0111,0.0056,0.8398,0.0111,0.0056,0,4.2102,0.1891,0.5506,Wide Winger
Rodrigo Bentancur,1,0.0491,0.1474,0.1966,0.0491,0,0,0.0448,0.0448,0.0786,0.1235,1.5356,0.8047,0.1966,24.4,0.06,0.25,0.1357,0.06,-0.3,-0.3,788.102,210.731,91.6,90.2,72.1,0.0633,0.0688,1.0197,4.8587,0.4975,0.1167,4.8956,53.6794,1.3636,0.7862,0.129,0.3501,0.817,0.1781,0.3378,0.1044,0.1413,0,47.8686,0.1474,0.9337,2.3587,0.0163,1.941,0.1474,0.0614,0.0676,0.0491,0.0921,0.3194,0.0022,0.2396,0.0184,0.0123,0.0246,0.0061,0.0184,2.242,1.4373,0.8722,1.0934,0.2764,0.8108,1.8735,43.3,1.0627,1.3514,0.3624,0.9889,1.5172,3.7039,1.4496,0.0307,65.258,2.4386,13.231,40.4975,12.3587,0.7494,65.258,1.64,61,0.6204,37.8,40.043,189.0602,91.8366,1.4189,1.4496,0.1106,1.0565,0.8354,46.1978,0.2887,0.0123,0.0123,1.7322,0.0061,0,0,6.2776,1.1671,0.9521,Pivot
J\xc3\xb3hann Berg Gu\xc3\xb0mundsson,1,0.1436,0.1889,0.3325,0.1398,0.0038,0.0038,0.0499,0.0499,0.068,0.1179,2.5161,0.7669,0.7253,35,0.06,0.19,0.0782,0.07,-1.2,-1.2,172.6332,50.9558,83.6,74.1,45,0.0661,0.1209,0.7669,0.6498,0.4269,0.2418,1.0842,12.8221,1.564,0.5251,0.0378,0.1247,2.5349,0.0793,0.9142,0.5176,0.2342,0.0491,10.0604,0.0982,0.374,1.4431,0.0126,0.8274,0.3967,0.0529,0.0907,0.0756,0,0.1247,0.0011,0.0793,0.0264,0.0038,0.0151,0,0,0.4911,0.3173,0.1927,0.2267,0.0718,0.2304,0.578,39.9,0.3476,0.3778,0.0491,0.3287,0.5516,0.9671,0.544,0,18.776,0.6045,2.6823,7.3555,9.0102,0.9331,18.776,0.8047,47.4,0.4005,49.8,10.6158,63.4832,27.6615,1.02,0.6687,0.1662,0.6649,0.5402,11.6056,0.0907,0.0038,0,0.7065,0,0.0038,0,2.2629,0.51,0.6649,Wide Winger
Sander Berge,1,0.087,0.0716,0.1586,0.0819,0.0051,0.0051,0.0788,0.0742,0.0732,0.1474,2.1341,0.7523,0.2405,31.3,0.11,0.34,0.0937,0.1,1.6,1.5,590.6858,156.0031,86.1,89,77.4,0.0686,-0.0015,0.7165,3.695,0.7625,0.1791,4.4678,36.1924,1.0542,0.824,0.0563,0.4452,0.998,0.1075,0.0154,0.0102,0.0051,0,31.2385,0.0972,0.6192,1.7298,0.0115,1.4585,0.0102,0.1382,0.0512,0.0409,0.0307,0.1535,0.001,0.0972,0,0.0358,0.0154,0.0051,0,1.3255,0.9007,0.5118,0.6755,0.1382,0.4504,0.7881,57.1,0.3378,0.7574,0.2149,0.5425,0.4964,1.8219,0.9468,0.0256,44.3603,1.6018,8.1986,25.4248,11.4176,1.5558,44.3552,1.5404,69.8,0.4197,27.2,25.8956,176.5967,90.0256,2.1699,1.4841,0.4248,0.9775,0.87,30.5169,0.1228,0,0,1.0594,0,0,0.0051,4.3654,1.3408,1.1003,Creator
Luke Berry,1,0.2338,0.0758,0.3096,0.2085,0.0253,0.0411,0.03,0.03,0.0212,0.0512,0.5024,0.2654,0.6509,111.9,0.4,0.31,0.054,0.11,2.5,2.5,59.5419,17.545,79.8,73.8,43.2,0.0174,0.0547,0.1991,0.3602,0.0853,0.0221,0.4739,4.1327,0.891,0.2875,0.0095,0.0411,0.5972,0.0316,0.3286,0.1453,0.1106,0.0284,3.3934,0.0537,0.1074,0.4044,0.0078,0.2275,0.1169,0.0063,0.0379,0.0126,0.0032,0.0158,0.0003,0.0063,0.0095,0,0,0,0,0.1801,0.1137,0.0695,0.0758,0.0348,0.0758,0.1959,38.7,0.1201,0.1833,0.0348,0.1485,0.1453,0.3254,0.1959,0.0063,6.6698,0.2938,1.1153,3.0016,2.6193,0.4076,6.6698,0.1359,53.5,0.0569,41.9,2.6856,11.1627,4.1611,0.1264,0.0853,0.0253,0.2622,0.1485,3.3965,0.1801,0.0032,0,1.1817,0,0,0,0.8152,0.3697,0.4581,Box to Box
Beto,1,0.4386,0.0376,0.4762,0.4261,0.0125,0.0125,0.4624,0.4524,0.0902,0.5439,5.2381,2.6942,1.0526,39.1,0.16,0.4,0.1767,0.17,-1.9,-2.1,128.2707,19.9123,69.9,65.4,62.1,0.0551,-0.0526,0.9398,0.6642,0.3383,0.0125,0.9273,13.396,1.1278,0.0251,0.0376,0.0752,0.3383,0.0501,0,0,0,0,9.3609,0.0752,0.3759,2.1303,0.0267,1.3409,0,0.3509,0.2256,0.1754,0.0376,0.2005,0.0025,0.0877,0,0.0376,0.0501,0.0251,0,0.802,0.3509,0.0752,0.4637,0.2632,0.2757,0.8271,33.3,0.5514,0.8521,0.1253,0.7268,0.1629,0.9649,1.1529,0.0125,29.0351,1.3534,2.2306,12.6441,14.6241,4.7118,29.0226,2.7444,51.6,1.2531,45.7,15.7393,82.0802,30.9398,1.1404,1.015,0.6892,4.4361,1.8421,20.3634,0.1378,0,0,2.0426,0.0125,0,0,1.9799,3.3333,4.2607,Complete Forward
Jordan Beyer,1,0.0134,0.0402,0.0535,0.0134,0,0,0.0455,0.0455,0.0335,0.079,0.8969,0.4819,0.0803,16.7,0.03,0.17,0.1928,0.1,-2.4,-2.4,1107.7108,295.4752,91.3,93.6,70.2,0.0241,0.0067,0.2945,2.6104,0.174,0.0669,3.1727,64.0027,3.6278,1.1513,0.0268,0.4284,0.2945,2.3427,0,0,0,0,60.0268,0.0937,0.5355,1.1111,0.0151,0.9237,0.0268,0.0268,0.0402,0.0535,0.0402,0.1205,0.0016,0.0937,0,0,0.0134,0.0134,0,2.7443,1.6734,1.8876,0.7764,0.0803,1.3253,2.075,63.9,0.7497,1.0843,0.5087,0.5756,1.1914,3.9357,3.1861,0.0803,78.166,7.2959,35.7162,38.2597,4.5114,0.6693,78.166,1.0576,63.3,0.3481,32.9,47.6439,290.1071,182.9719,1.6198,1.1513,0.1071,0.5489,0.4418,53.8822,0.2677,0,0,0.8701,0,0.0134,0.0134,5.1539,2.0482,1.7001,Sweeper
Philip Billing,1,0.1792,0.0977,0.2769,0.1792,0,0,0.1243,0.1243,0.1091,0.2329,3.2573,1.3029,0.5049,36.3,0.13,0.35,0.1042,0.1,7.1,7.1,413.3225,108.4365,81,78,54.9,0.0907,-0.0114,0.836,2.0141,0.5972,0.1412,3.0619,33.7025,1.7427,0.4506,0.1031,0.3637,1.0695,1.1455,0.0814,0.0326,0.0109,0,26.2866,0.0977,0.8903,1.949,0.0119,1.4712,0.1031,0.114,0.1466,0.076,0.038,0.1846,0.0011,0.1466,0.0163,0.0054,0.0163,0,0,1.9815,1.2161,0.7492,1.0098,0.2226,0.4723,1.4224,33.2,0.9501,1.6504,0.3312,1.3192,1.2866,3.2682,1.759,0.0217,47.4919,2.4213,10.1737,22.9913,14.962,2.1716,47.4919,1.2486,56.1,0.4995,40,24.6688,125.57,54.5277,1.3355,1.2269,0.1846,1.7698,0.9881,28.6971,0.2877,0.0054,0,1.3898,0,0.0109,0,4.6797,2.3779,1.3735,Creator
Yves Bissouma,1,0.0424,0.0212,0.0636,0.0424,0,0,0.0573,0.0573,0.0311,0.0884,1.1669,1.372,0.2192,16,0.03,0.19,0.1853,0.05,-3.1,-3.1,700.8699,168.1117,91.8,90.2,71.9,0.0431,-0.0099,0.4668,3.8048,0.4738,0.0141,4.5686,48.0835,1.471,0.8769,0.1697,0.2687,0.297,0.3748,0.0212,0,0.0212,0,43.2673,0.1839,0.6719,1.8741,0.0141,1.4074,0.0283,0.198,0.099,0.0707,0.0707,0.1202,0.0009,0.0919,0,0.0071,0.0071,0.0071,0.0071,2.9774,2.1853,1.4003,1.3508,0.2263,0.976,1.8741,52.1,0.8982,1.1174,0.198,0.9194,1.7185,4.611,1.662,0.0354,61.8812,2.6662,13.9958,36.9873,11.8812,0.7072,61.8812,2.5884,68.9,0.7567,29.2,36.5276,228.338,105.2122,1.9943,1.6054,0.3041,1.4569,1.1386,41.7256,0.3324,0.0212,0.0071,1.7539,0,0.0071,0,6.4569,0.9123,0.7992,Box to Box
Jayden Bogle,1,0.0876,0.1116,0.1992,0.0876,0,0,0.0757,0.0757,0.0924,0.1673,5.2749,0.8765,0.2948,33.6,0.1,0.3,0.1307,0.09,1.5,1.5,613.9124,214.1594,88.3,77.9,44.9,0.0948,0.0191,0.8685,2.5896,1.259,0.4143,3.5697,40.4064,10.3347,0.7092,0.0956,0.1594,2.5259,9.6255,0,0,0,0,38.9721,0.1275,1.1394,2.1753,0.0174,1.6813,0.0637,0.1912,0.1036,0.1195,0.0159,0.2948,0.0023,0.239,0,0.0239,0.0159,0.0159,0,2.2231,1.3944,1.3068,0.6773,0.239,1.1315,2.1275,53.2,0.996,1.1076,0.2789,0.8287,1.0757,3.2988,1.9124,0.0398,63.745,2.8127,16.8685,28.3267,19.4502,2.1912,63.745,2.8924,49,1.3785,47.7,33.4741,191.0677,98.2789,2.5657,1.7211,0.6375,2.0319,1.1952,35.6414,0.255,0,0,1.2988,0.0159,0,0.0159,5.5219,1.1076,1.259,Offensive Wing Back
